id,name,party
5611,Alma Allen,D
73,Roberto Alonzo,D
5670,Carol Alvarado,D
5608,Rafael Anchia,D
5776,Cesar Blanco,D
5736,Terry Canales,D
92,Garnet Coleman,D
5748,Nicole Collier,D
116,Yvonne Davis,D
169,Joe D. Deshotel,D
122,Dawnna Dukes,D
123,"Harold V. Dutton, Jr.",D
5636,Joe Farias,D
128,Jessica Farrar,D
131,Helen Giddings,D
5742,Mary E. Gonzalez,D
5719,R.D. 'Bobby' Guerra,D
5552,Ryan Guillen,D
5651,Roland Gutierrez,D
5616,Ana Hernandez,D
5612,Abel Herrero,D
5618,Donna Howard,D
5762,Celia Israel,D
5677,Eric Johnson,D
193,Tracy O. King,D
5735,Oscar Longoria,D
5628,"Eddie Lucio, III",D
5672,Marisa Marquez,D
5601,Armando Martinez,D
205,Trey Martinez Fischer,D
208,Ruth Jones McClendon,D
210,Jose Menendez,D
5632,Borris Miles,D
5660,Joseph E. Moody,D
5691,"Sergio Munoz, Jr.",D
217,Elliott Naishtat,D
5741,Poncho Nevarez,D
221,Rene O. Oliveira,D
223,Joe C. Pickett,D
228,Richard Pena Raymond,D
5686,Ron Reynolds,D
5566,Eddie Rodriguez,D
5756,Justin Rodriguez,D
5779,"Ramon Romero, Jr.",D
5752,Toni Rose,D
243,Senfronia Thompson,D
5662,Chris Turner,D
247,Sylvester Turner,D
5596,Hubert Vo,D
5671,Armando Walle,D
5759,Gene Wu,D
37,Rodney Ellis,D
5760,Sylvia Garcia,D
179,"Juan ""Chuy"" Hinojosa",D
49,Eddie Lucio,D
5687,Jose Rodriguez,D
249,Carlos Uresti,D
64,Leticia Van de Putte,D
5626,Kirk Watson,D
45,Royce West,D
38,John Whitmire,D
43,Judith Zaffirini,D
5604,Charles 'Doc' Anderson,R
5710,Rodney Anderson,R
5737,Trent Ashby,R
5640,Jimmie Don Aycock,R
5724,"Cecil Bell, Jr.",R
5576,Dwayne Bohac,R
101,Dennis Bonnen,R
5731,Greg Bonnen,R
5711,Cindy Burkett,R
5774,DeWayne Burns,R
5778,Dustin Burrows,R
5666,Angie Chen Button,R
5750,Giovanni Capriglione,R
5727,Travis Clardy,R
5545,Byron Cook,R
109,Tom Craddick,R
167,Myra Crownover,R
5757,Tony Dale,R
5642,Drew Darby,R
5695,Sarah Davis,R
127,Gary Elkins,R
5771,Wayne Faircloth,R
5751,Pat Fallon,R
5730,Marsha Farney,R
5667,Allen Fletcher,R
5543,Dan Flynn,R
5739,James Frank,R
5681,John M. Frullo,R
5784,Rick Galindo,R
176,Charlie Geren,R
5749,Craig Goldman,R
5696,Larry Gonzales,R
5635,Patricia Harless,R
5698,Dan Huberty,R
5544,Bryan Hughes,R
158,Todd A. Hunter,R
5693,Jason Isaac,R
5728,Kyle Kacal,R
191,Jim Keffer,R
5788,Mark Keough,R
5744,Ken King,R
192,Phil King,R
5641,Susan Lewis King,R
5654,Tim Kleinschmidt,R
5745,Stephanie Klick,R
5781,Linda Koop,R
5747,Matt Krause,R
5714,John Kuempel,R
5777,Brooks Landgraf,R
5699,Lyle Larson,R
5562,Jodie Laubenberg,R
5722,Jeff Leach,R
5692,J.M. Lozano,R
5789,Will Metcalf,R
5782,Morgan Meyer,R
5659,Doug Miller,R
5732,Rick Miller,R
215,Geanie Morrison,R
5634,Jim Murphy,R
5772,Andrew S. Murr,R
5597,John Otto,R
5726,Chris Paddie,R
5630,Tan Parker,R
5785,Dennis Paul,R
5787,Gilbert Pena,R
5770,Dade Phelan,R
5583,Larry Phillips,R
5707,"Walter ""Four"" Price",R
5716,John Raney,R
5538,Debbie Riddle,R
5783,Matt Rinaldi,R
5740,Scott Sanford,R
5725,Matt Schaefer,R
5786,Mike Schofield,R
5775,Matt Shaheen,R
5709,Kenneth Sheets,R
5738,J.D. Sheffield,R
5721,Ron Simmons,R
5683,David Simpson,R
5573,Wayne Smith,R
238,John Smithee,R
5768,Stuart Spitzer,R
5723,"Drew Springer, Jr.",R
5743,Phil Stephenson,R
5746,Jonathan Stickland,R
5615,Joe Straus,R
5733,Ed Thompson,R
5780,Tony Tinderholt,R
5734,Scott Turner,R
5767,Gary VanDeaver,R
5753,Jason Villalba,R
5684,James White,R
5773,Molly S. White,R
5694,Paul Workman,R
5769,John Wray,R
5565,William 'Bill' Zedler,R
5627,John Zerwas,R
5764,Paul Bettencourt,R
5678,Brian Birdwell,R
5765,Konni Burton,R
5720,Donna Campbell,R
5625,Brandon Creighton,R
5590,Kevin Eltife,R
5521,Craig Estes,R
46,Troy Fraser,R
5763,Bob Hall,R
5645,Kelly Hancock,R
5766,Don Huffines,R
5673,Joan Huffman,R
195,Lois W. Kolkhorst,R
33,Jane Nelson,R
5631,Robert Nichols,R
5705,Charles Perry,R
5685,Charles Schwertner,R
5589,Kel Seliger,R
5549,Larry Taylor,R
5675,Van Taylor,R